Pop$	Block	W1	W2	W3	L1	L2	L3	flwsize	lines	colour	pigment	FlwDate	display	DaysFlwing	height	InflorLen	flowers	aborted	damage	fruits	meanfruitsize	fitness	openflws	VOCdate	unknown1	trans2octenal	cis6nonenal	cisbetaocimene	linalool 	bergamotene	germacreneD	alphafarnasene	betacitronellol	methylsalicylate	thujol	cisjasmone	nerolidol	unknown3	transbetaocimene	unknown2	alkene	methylbenzoate	sesquiterpene 	alphacedrene	alphacopaene	betacedrene	methylcinnamate	tscent	
NR	27	9.07	5.07	3.07	5.64	9.76	18.39	7.23	3.00	9.67	29.00	166	3.25	4	52.5	9.5	22	11	1	11	4.97	52.16	2.0	23	0.6607	0.4895	0.3085	0.0000	0.0750	0.3531	0.2355	0.1122	0.0309	0.0000	0.0457	0.0000	0.0161	0.2664	0.0000	0.0000	0.0000	0.0347	0.2268	0.0726	0.0710	0.2204	0.0000	3.2191	
NR	29	7.99	4.51	2.79	4.92	9.33	18.92	6.66	2.33	8.67	20.22	171	2.75	4	39	4	6	1	2	5	4.19	16.76	3.0	23	0.0593	0.0000	0.0000	0.0000	0.3606	0.1101	0.0463	0.0917	0.1470	0.0000	0.0712	0.0226	0.0144	0.0000	0.0000	0.0000	0.0000	0.1016	0.0975	0.0000	0.0000	0.0975	0.0000	1.2198	
TH	11	9.61	4.86	3.33	5.49	11.43	21.90	7.73	0.80	3.60	2.88	166	5.20	5	55	9	16	0	2	16	6.15	92.20	6.0	22	0.0091	0.2722	0.0000	0.0236	0.1101	0.0831	0.0624	0.0387	0.0851	0.0414	0.0000	0.0000	0.0000	0.0650	0.0937	0.0000	0.0000	0.0556	0.0816	0.0295	0.0291	0.0000	0.0000	1.0803	
WF	33	7.68	4.91	2.90	5.25	9.01	17.26	6.69	3.00	6.33	19.00	172	1.78	9	57	6.5	21	8	1	13	4.50	56.22	1.0	23	0.0490	0.0712	0.0000	0.0150	0.0962	0.1312	0.0000	0.0000	0.0000	0.0000	0.0685	0.0000	0.0000	0.0909	0.0000	0.0000	0.0000	0.0160	0.0810	0.0000	0.0448	0.0774	0.0000	0.7413	
WF	29	7.19	4.53	2.76	5.61	9.81	18.08	6.69	1.00	6.33	6.33	171	2.11	9	52	9.5	33	17	9	16	5.13	59.04	1.0	23	0.1519	0.2631	0.3105	0.1027	0.0680	0.2298	0.0897	0.0000	0.1073	0.0000	0.1615	0.0000	0.0000	0.0483	0.0569	0.0000	0.0000	0.0331	0.0749	0.0000	0.0345	0.0750	0.0000	1.8072	
WF	31	6.57	3.81	2.80	4.22	8.81	15.82	5.88	0.00	0.00	0.00	171	1.83	6	57	5.5	13	8	2	5	4.67	18.67	1.0	23	0.3365	0.3810	0.2788	0.0000	0.0646	0.1987	0.1293	0.0000	0.0000	0.0000	0.0448	0.0000	0.0109	0.1166	0.0000	0.0000	0.0000	0.0492	0.0659	0.0000	0.0645	0.0659	0.0500	1.8567	
NR	2	7.79	5.02	2.82	5.78	9.23	16.98	6.81	3.00	11.67	35.00	166	5.14	7	49	7	33	9	0	24	4.59	110.06	9.0	21	1.9712	0.8757	0.2029	0.3437	1.2530	0.0215	0.4189	0.0385	0.1978	0.9914	0.3097	0.0499	0.1690	0.0499	1.8077	0.1431	0.0000	0.2923	0.0320	0.0000	0.1315	0.0568	0.0000	9.3565	
NR	13	8.41	4.62	3.01	5.31	9.13	17.92	6.83	3.00	9.67	29.00	169	3.45	11	64	10	40	15	2	25	4.92	118.01	3.0	22	0.6110	0.1716	0.0534	0.0340	0.1773	0.4914	1.2665	0.2707	0.1541	0.5248	0.0082	0.0270	0.0572	0.0000	0.2922	0.0000	0.0000	0.3004	0.0252	0.1712	0.1366	0.0000	0.0000	4.7729	
NR	5	7.69	4.37	3.16	4.92	8.79	17.09	6.54	3.00	9.67	29.00	171	1.56	9	42	4	9	1	4	8	4.30	25.79	1.0	24	0.2477	0.1890	0.0336	0.0366	0.2727	0.1420	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0376	0.0000	0.0000	0.5961	0.0000	0.0129	0.0000	0.0000	0.0513	0.0000	0.0000	1.6196	
WF	7	8.25	4.94	3.21	6.12	9.67	17.98	7.20	1.67	5.00	8.33	167	3.93	14	74.5	11	54	9	14	45	5.53	210.10	6.0	24	0.3265	0.2965	0.0000	0.1315	0.6087	0.5695	0.0513	0.0000	0.2673	0.0366	0.1517	0.0044	0.0000	0.0000	0.0000	0.5180	0.0000	0.0000	0.0000	0.0692	0.0342	0.0000	2.1994	5.2649	
NR	6	8.55	4.97	3.32	6.02	10.36	18.38	7.38	3.00	9.33	28.00	169	4.75	4	55	7.5	27	9	4	18	5.25	83.94	9.0	21	4.2571	0.4105	0.1365	0.0909	0.2766	0.0000	0.9323	0.4269	0.0838	1.1250	0.0000	0.0000	0.3669	0.0000	0.0000	0.4928	0.0000	0.0000	0.0000	0.0000	0.2796	0.2157	0.1171	9.2117	
TH	25	8.27	4.96	3.23	5.22	9.01	16.73	6.86	2.00	10.33	20.67	166	3.43	7	75	16	34	25	2	9	5.78	46.22	18.0	24	0.7921	3.6585	0.8205	0.0000	0.4172	1.0752	0.3861	0.0210	0.0000	0.1009	0.0000	0.0077	0.0000	0.0000	0.8261	0.4046	0.0000	0.0109	0.0000	0.0000	0.0765	0.0000	0.3483	8.9456	
WF	24	8.14	5.15	2.83	5.81	10.41	18.83	7.16	3.00	11.33	34.00	169	3.82	11	57	11.5	42	15	3	27	4.68	119.46	3.0	24	1.3287	0.5772	0.3313	0.2009	0.2590	0.5776	0.0680	0.0000	0.5710	0.1598	0.3221	0.0000	0.0667	0.0000	0.0000	0.3860	0.0000	0.0000	0.0000	0.0767	0.0239	0.0000	0.0000	4.9488	
TH	21	6.63	4.08	2.56	4.50	8.59	16.26	5.93	3.00	8.00	24.00	167	3.89	9	53	9	38	19	0	19	3.48	66.21	8.0	24	0.5932	3.1658	0.7613	0.0924	0.6708	0.5832	0.1026	0.0282	0.1268	0.0889	0.0000	0.0294	0.0000	0.0000	0.6175	0.3278	0.0000	0.0000	0.0000	0.0000	0.0955	0.0000	0.8094	8.0928	
TH	23	8.98	4.78	2.96	6.77	10.66	20.24	7.55	1.00	5.67	5.67	169	4.50	8	55	8	26	8	1	18	4.69	82.14	5.0	24	0.2280	1.0332	0.6448	0.0000	0.3803	0.7303	0.1207	0.0000	0.0000	0.2648	0.0000	0.0000	0.0048	0.0000	0.2302	0.2658	0.0000	0.0000	0.0000	0.0869	0.0000	0.0000	0.3506	4.3404	
WF	23	7.87	4.73	2.79	5.24	9.58	17.19	6.69	1.67	10.67	17.78	171	3.00	8	44	6.5	22	5	8	17	3.99	51.86	5.0	24	0.5862	0.1825	0.8728	0.2500	0.1792	0.3286	0.2470	0.0000	0.1376	0.0414	0.3538	0.0152	0.0000	0.0000	0.8351	0.1565	0.0000	0.0676	0.0000	0.0383	0.1342	0.0000	0.0487	4.4746	
WF	9	8.18	4.42	2.62	5.05	9.96	18.11	6.65	3.00	7.00	21.00	169	4.23	13	66	12	41	5	13	36	4.68	138.09	7.0	21	0.0197	0.2158	0.0631	0.1113	0.0276	0.0550	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2020	0.0000	0.0721	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7666	
TH	2	8.19	4.25	3.20	4.87	8.16	15.91	6.43	1.00	5.33	5.33	171	4.75	8	58.5	14	33	15	3	18	5.12	84.42	3.0	21	0.0255	1.0931	0.2603	0.0000	0.0000	0.0280	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0594	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.4664	
WF	2	6.60	4.15	2.85	4.53	9.27	16.13	6.13	1.00	2.67	2.67	171	4.67	6	62	9	28	9	6	19	5.07	81.05	2.5	25	0.1510	0.0369	0.0000	0.0087	0.0560	0.0000	0.0055	0.0000	0.0108	0.0000	0.0038	0.0000	0.0000	0.0479	0.0666	0.0266	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0400	0.4537	
WF	34	7.74	4.10	2.43	5.18	9.24	17.18	6.32	3.00	7.67	23.00	173	2.25	12	64	12	42	31	2	11	5.31	53.08	3.0	23	0.0407	0.6330	1.8544	0.0760	0.1031	0.8362	2.7050	0.0000	0.1141	0.0000	0.1320	0.0464	0.0165	0.1821	0.0770	0.0000	0.0000	0.0302	0.0000	0.4229	0.3648	0.0000	0.0000	7.6343	
